latlng	Column1	river	type	sub_type	province
"11.713142297007883, 109.0295061315663"	Nhà máy Điện gió Trung Nam Ninh Thuận GĐ 1		Điện gió		Ninh Thuận
"11.713142297007883, 109.0295061315663"	Nhà máy Điện gió Trung Nam Ninh Thuận GĐ 2		Điện gió		Ninh Thuận
"11.713142297007883, 109.0295061315663"	Nhà máy Điện gió Trung Nam Ninh Thuận GĐ 3		Điện gió		Ninh Thuận
"13.144195064704322, 108.24433532363787"	Nhà máy Điện gió Ea Nam (HBRE Tây Nguyên phase 2)		Điện gió		Đắk Lắk
"9.544212734814673, 106.44737974872251"	Nhà máy Điện gió Đông Hải 1 Trà Vinh		Điện gió		Trà Vinh
"9.622931670104856, 106.56068084077071"	Nhà máy Điện gió Trà Vinh V1-2		Điện gió		Trà Vinh
"11.41610868713157, 108.85595175613804"	Nhà máy Điện mặt trời Thuận Nam Đức Long		Điện mặt trời		Ninh Thuận
"11.668666344723482, 108.787180334695"	Nhà máy Điện mặt trời Mỹ Sơn		Điện mặt trời		Ninh Thuận
"11.664196368632165, 108.79919602991635"	Nhà máy Điện mặt trời Mỹ Sơn 2		Điện mặt trời		Ninh Thuận
"11.665407326031275, 108.81172774449489"	Nhà máy Điện mặt trời Mỹ Sơn - Hoàn Lộc Việt		Điện mặt trời		Ninh Thuận
"11.886059268001388, 109.08998147943977"	Nhà máy Điện mặt trời Sông Giang		Điện mặt trời		Khánh Hòa
"11.458785518709771, 108.79890958497391"	Nhà máy Điện mặt trời Thuận Nam 12		Điện mặt trời		Ninh Thuận
"10.906150515132714, 108.00926756408295"	Nhà máy Điện mặt trời Hàm Kiệm		Điện mặt trời		Bình Thuận
"11.879071369819684, 109.08824688498073"	Nhà máy Điện mặt trời Tuấn Ân		Điện mặt trời		Khánh Hòa
"11.281031179933281, 108.7352430117271"	Nhà máy Điện mặt trời Vĩnh Hảo		Điện mặt trời		Bình Thuận
"16.61543309067337, 107.40989451509684"	Nhà máy Điện mặt trời Phong Điền 2		Điện mặt trời		Thừa Thiên Huế
"10.580198332538885, 107.27748886592526"	Nhà máy Điện mặt trời Đá Bạc		Điện mặt trời		Bà Rịa - Vũng Tàu
"14.162492607686463, 110.15412980163873"	Nhà máy Điện sinh khối SK An Khê		Điện sinh khối		Gia Lai
"10.924448608623566, 106.27376550584813"	Nhà máy Điện mặt trời EuroPlast Long An		Điện mặt trời		Long An
"10.764534160678258, 106.31498320086905"	Nhà máy Điện mặt trời Solar Park 03		Điện mặt trời		Long An
"11.263162272381464, 108.3220742572982"	Nhà máy Điện mặt trời Sông Lũy 1		Điện mặt trời		Bình Thuận
"22.032505905115265, 105.1344175158992"	Nhà máy Điện sinh khối Mía đường Tuyên Quang		Điện sinh khối		Tuyên Quang
"11.983038913968642, 109.13584607148836"	Nhà máy Điện mặt trời AMI Khánh Hòa		Điện mặt trời		Khánh Hòa
"9.13907250877323, 105.56956984052238"	Nhà máy Điện gió Đông Hải 1		Điện gió		Bạc Liêu
"10.28663069209369, 106.76153081748572"	Nhà máy Điện gió Tân Phú Đông		Điện gió		Tiền Giang
"9.930495671118186, 106.65354544077474"	Nhà máy Điện gió Thanh Phong		Điện gió		Bến Tre
"13.85420620387557, 109.28062225063948"	Nhà máy Điện gió Nhơn Hội		Điện gió		Bình Định
"16.71531169206941, 106.73763819857022"	Nhà máy Điện gió Gelex 1		Điện gió		Quảng Trị
"16.71531169206941, 106.73763819857022"	Nhà máy Điện gió Gelex 2		Điện gió		Quảng Trị
"16.71531169206941, 106.73763819857022"	Nhà máy Điện gió Gelex 3		Điện gió		Quảng Trị
"16.916768612996673, 107.14802333950898"	"Nhà máy Điện mặt trời Gio Thành 1, 2"		Điện mặt trời		Quảng Trị
"9.188309558506122, 105.62449281377678"	Nhà máy Điện gió Hòa Bình 5		Điện gió		Bạc Liêu
"10.610397125076096, 106.17584321749051"	Nhà máy Điện mặt trời GAIA		Điện mặt trời		Long An
"11.071101089246836, 108.28404683468568"	Nhà máy Điện mặt trời Hồng Phong 1A		Điện mặt trời		Bình Thuận
"11.071101089246836, 108.28404683468568"	Nhà máy Điện mặt trời Hồng Phong 1B		Điện mặt trời		Bình Thuận
"11.902423266376935, 106.4873255640986"	Nhà máy Điện mặt trời Lộc Ninh 4		Điện mặt trời		Bình Phước
"11.903683043701934, 106.4884520918047"	Nhà máy Điện mặt trời Lộc Ninh 5		Điện mặt trời		Bình Phước
"11.071238930783496, 108.36494938127376"	Nhà máy Điện gió Thái Hòa		Điện gió		Bình Thuận
"11.331137646543091, 108.355142696619"	Nhà máy Điện mặt trời Phan Lâm 2		Điện mặt trời		Bình Thuận
"11.50953924585617, 108.85149230031601"	Nhà máy Điện mặt trời Phước Hữu - Điện lực 1		Điện mặt trời		Ninh Thuận
"9.342374915620615, 106.09649921931992"	Nhà máy Điện gió số 7 Sóc Trăng		Điện gió		Sóc Trăng
"9.983595684044523, 106.6462575174815"	Nhà máy Điện gió V1-3 Bến Tre		Điện gió		Bến Tre
"11.887155264812291, 108.56525148313384"	Nhà máy Điện gió Cầu Đất		Điện gió		Lâm Đồng
"9.740737128663685, 106.56203050028984"	Nhà máy Điện gió Hiệp Thạnh		Điện gió		Trà Vinh
"9.740737128663685, 106.56203050028984"	Nhà máy Điện gió Hiệp Thạnh Trà Vinh		Điện gió		Trà Vinh
"14.290834632415734, 109.12858285618913"	Nhà máy Điện mặt trời Đầm Trà Ố		Điện mặt trời		Bình Định
"14.117730634220445, 109.01196358502095"	Nhà máy Điện mặt trời Mỹ Hiệp		Điện mặt trời		Bình Định
"9.32720678502602, 106.06390778402881"	Nhà máy Điện gió Lạc Hòa 1 phase 1		Điện gió		Sóc Trăng
"11.47590761895576, 106.26355677617478"	Nhà máy Điện mặt trời Tân Châu 1		Điện mặt trời		Tây Ninh
"11.079960127098621, 108.27637576206929"	Nhà máy Điện mặt trời Hồng Phong 5.2		Điện mặt trời		Bình Thuận
"11.307187235982584, 108.75496897517169"	Nhà máy Điện mặt trời Vĩnh Hảo 6		Điện mặt trời		Bình Thuận
"10.09312819241699, 106.7750331984478"	Nhà máy Điện gió VPL		Điện gió		Bến Tre
"11.331563020732604, 108.36474877573659"	Nhà máy Điện mặt trời Phan Lâm 1		Điện mặt trời		Bình Thuận
"10.54706468863866, 104.97974624646433"	Nhà máy Điện mặt trời Văn Giáo 2		Điện mặt trời		An Giang
"10.54706468863866, 104.97974624646433"	Nhà máy Điện mặt trời Văn Giáo 1		Điện mặt trời		An Giang
"12.591264266473363, 107.92774196673649"	Nhà máy Điện mặt trời Trúc Sơn		Điện mặt trời		Đăk Nông
"12.009715610345234, 109.10688601012413"	Nhà máy Điện mặt trời Trung Sơn		Điện mặt trời		Khánh Hòa
"14.301683742178863, 109.16497258687174"	Nhà máy Điện mặt trời Phù Mỹ 1		Điện mặt trời		Bình Định
"14.30642487071825, 109.16319666750574"	Nhà máy Điện mặt trời Phù Mỹ 2		Điện mặt trời		Bình Định
"14.309400915625696, 109.13826827003558"	Nhà máy Điện mặt trời Phù Mỹ 3		Điện mặt trời		Bình Định
"13.769274971243656, 108.45377969481412"	Nhà máy Điện gió Chơ Long		Điện gió		Gia Lai
"16.649104270003686, 106.61523968138029"	Nhà máy Điện gió Hải Anh		Điện gió		Quảng Trị
"13.808507592979337, 107.97847028501492"	Nhà máy Điện gió HBRE Chư Prông		Điện gió		Gia Lai
"13.897240867450684, 108.08957429481673"	Nhà máy Điện gió Ia Pết Đắk Đoa 2		Điện gió		Gia Lai
"13.904952175296653, 108.08126813288754"	Nhà máy Điện gió Ia Pết Đắk Đoa 1		Điện gió		Gia Lai
"13.825906522293922, 109.26886589512335"	Nhà máy Điện gió Phương Mai 3		Điện gió		Bình Định
"13.914560567746047, 109.25187135846717"	Nhà máy Điện gió Phương Mai 1		Điện gió		Bình Định
"11.740355601632388, 109.06341923710794"	Nhà máy Điện gió Lợi Hải 2		Điện gió		Ninh Thuận
"13.769389596838232, 108.45442342493189"	Nhà máy Điện gió Yang Trung		Điện gió		Gia Lai
"14.911540136401976, 107.71176470407215"	Nhà máy Điện gió Tân Tấn Nhật - Đăk Glei		Điện gió		Kon Tum
"18.175916548992667, 106.02609514690845"	Nhà máy Điện mặt trời Cẩm Hòa		Điện mặt trời		Hà Tĩnh
"11.518914016144612, 106.21289807332784"	Nhà máy Điện mặt trời Bách Khoa Á Châu 1		Điện mặt trời		Tây Ninh
"11.468673695815413, 106.13452627332713"	Nhà máy Điện sinh khối Bourbon Tay Ninh		Điện sinh khối		Tây Ninh
"12.595772294674235, 107.87327690459279"	Nhà máy Điện mặt trời Cư Jút		Điện mặt trời		Đăk Nông
"11.86410916326571, 107.01728513782766"	Nhà máy Điện mặt trời Thác Mơ		Điện mặt trời		Bình Phước
"11.526708787658329, 106.21501835429271"	Nhà máy Điện mặt trời Trí Việt 1		Điện mặt trời		
"11.725523459896925, 109.03455061625709"	Nhà máy Điện mặt trời Trung Nam Ninh Thuận		Điện mặt trời		Ninh Thuận
"11.112974459330491, 108.05233538127437"	Nhà máy Điện mặt trời Thuận Minh 2		Điện mặt trời		Bình Thuận
"11.686188837703883, 109.00526352843568"	Nhà máy Điện mặt trời Xuân Thiện Thuận Bắc 1		Điện mặt trời		Ninh Thuận
"11.672530122616863, 109.02384587149854"	Nhà máy Điện mặt trời Xuân Thiện Thuận Bắc 2		Điện mặt trời		Ninh Thuận
"9.306134475742915, 105.9511977032605"	Nhà máy Điện gió Sóc Trăng 3 phase 1		Điện gió		Sóc Trăng
"9.14654293935794, 105.5892166714468"	Nhà máy Điện gió Hòa Bình 2		Điện gió		Bạc Liêu
"10.694660329276935, 107.27889041010337"	Nhà máy Điện mặt trời Hồ Gia Hoét 1		Điện mặt trời		Bà Rịa - Vũng Tàu
"12.59056093775583, 109.16426602732224"	Nhà máy Điện mặt trời KN Vạn Ninh		Điện mặt trời		Khánh Hòa
"11.484602925831277, 108.9056520037078"	Nhà máy Điện gió Chính Thắng		Điện gió		Ninh Thuận
"9.41838169706059, 106.11613062320764"	Nhà máy Điện gió Hòa Đông 2		Điện gió		Sóc Trăng
"16.724078484505597, 106.62451420411156"	Nhà máy Điện gió Hướng Phùng 2		Điện gió		Quảng Trị
"9.404401560251232, 106.09258016406187"	Nhà máy Điện gió Lạc Hòa 2		Điện gió		Sóc Trăng
"11.501116819860048, 108.87103110286628"	Nhà máy Điện gió Phước Hữu - Duyên Hải 1		Điện gió		Ninh Thuận
"12.320791008107445, 107.65996591253912"	Nhà máy Điện gió Đăk Hòa		Điện gió		Đắk Nông
"9.388314387307837, 106.16960969761556"	Nhà máy Điện gió Quốc Vinh Sóc Trăng		Điện gió		Sóc Trăng
"11.049318288644459, 108.40307738866179"	Nhà máy Điện gió Thuận Nhiên Phong		Điện gió		Bình Thuận
"11.437849467234951, 108.88671649364446"	Nhà máy Điện mặt trời Adani Phước Minh		Điện mặt trời		Ninh Thuận
"11.433558752459748, 108.85844963099703"	Nhà máy Điện mặt trời Trung Nam Thuận Nam		Điện mặt trời		Ninh Thuận
"13.863528336812111, 109.2713294117567"	Nhà máy Điện mặt trời FUJIWARA Bình Định		Điện mặt trời		Bình Định
"18.212127433229778, 105.99675724278246"	Nhà máy Điện mặt trời Cẩm Hưng		Điện mặt trời		Hà Tĩnh
"11.4272288827066, 108.80614523895001"	Nhà máy Điện mặt trời Nhị Hà - Thuận Nam 13		Điện mặt trời		Ninh Thuận
"11.434736958788882, 108.90210216537356"	Nhà máy Điện gió 7A		Điện gió		Ninh Thuận
"16.60126571662576, 106.77170037896758"	Nhà máy Điện gió Hoàng Hải		Điện gió		Quảng Trị
"16.582014237229505, 106.75201834089664"	Nhà máy Điện gió Tài Tâm		Điện gió		Quảng Trị
"12.270661597637377, 107.53504660217557"	Nhà máy Điện gió Đăk N'Drung 1		Điện gió		Đắk Nông
"8.589899118802197, 104.92482147143998"	Nhà máy Điện gió Viên An		Điện gió		Cà Mau
"11.315055313732952, 108.42836535244221"	Nhà máy Điện mặt trời Bình An		Điện mặt trời		Bình Thuận
"11.254628459385811, 108.6963296181485"	Nhà máy Điện gió NMĐ gió Phong Điện 1 – Giai đoạn 2		Điện gió		Bình Thuận
"11.231260592766892, 108.67939934818216"	Nhà máy Điện mặt trời Eco Seido Tuy Phong		Điện mặt trời		Bình Thuận
"17.235041252399284, 106.86744975199407"	Nhà máy Điện mặt trời Dohwa Lệ Thủy		Điện mặt trời		Quảng Bình
"9.994173307010753, 105.54467664077572"	Nhà máy Điện sinh khối NMXL rác Cần Thơ		Điện sinh khối		Cần Thơ
"11.284905181364087, 108.72817499477124"	Nhà máy Điện mặt trời Tuy Phong		Điện mặt trời		Bình Thuận
"10.579995982438719, 107.18114564078414"	Nhà máy Điện mặt trời KCN Châu Đức		Điện mặt trời		Bà Rịa - Vũng Tàu
"11.165906646476543, 108.2695358254517"	Nhà máy Điện mặt trời Hồng Liêm 3		Điện mặt trời		Bình Thuận
"9.342374915620615, 106.09620954076694"	Nhà máy Điện gió Sóc Trăng 7 GĐ 2		Điện gió		Sóc Trăng
"20.002729080490024, 105.62260471299388"	Nhà máy Điện mặt trời Yên Định		Điện mặt trời		Thanh Hóa
"9.249741152135055, 105.80405043281283"	Nhà máy Điện gió Bạc Liêu 3		Điện gió		Bạc Liêu
"16.700351191782975, 106.75080864274621"	Nhà máy Điện gió Hướng Linh 3		Điện gió		Quảng Trị
"16.71226001854678, 106.71511353025257"	Nhà máy Điện gió Hướng Linh 4		Điện gió		Quảng Trị
"16.632787822384472, 106.69257864643888"	Nhà máy Điện gió Liên Lập		Điện gió		Quảng Trị
"8.831321915875101, 105.2997877505605"	Nhà máy Điện gió Cà Mau 1		Điện gió		Cà Mau
"12.807186369128393, 107.83237194707932"	Nhà máy Điện mặt trời Srêpôk 1		Điện mặt trời		Đắk Lắk
"12.807186369128393, 107.83237194707932"	Nhà máy Điện mặt trời Quang Minh		Điện mặt trời		Đắk Lắk
