latlng	Column1	river	type	sub_type	province
22.9422222222222, 105.548888888888	Nhà máy thuỷ điện Bảo Lâm 1	Sông Gâm	Thuỷ điện	Thuỷ điện vừa và nhỏ	Cao Bằng
23.0130555555555, 105.486666666666	Nhà máy thuỷ điện Bảo Lâm 3	Nho Quế	Thuỷ điện	Thuỷ điện vừa và nhỏ	Cao Bằng, Hà Giang
,	Nhà máy thuỷ điện Bảo Lâm 3A		Thuỷ điện		
11.4247222222222, 107.875	Nhà máy thuỷ điện Bảo Lộc	La Ngà	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lâm Đồng
16.3172222222222, 107.502777777777	Nhà máy thuỷ điện Bình Điền	Hữu Trạch	Thuỷ điện	Thuỷ điện vừa và nhỏ	Thừa Thiên Huế
22.7347222222222, 106.122222222222	Nhà máy thuỷ điện Bình Long	Dẻ Rào	Thuỷ điện	Thuỷ điện vừa và nhỏ	Cao Bằng
12.5305555555555, 107.924444444444	Nhà máy thuỷ điện Buôn Kuốp	Srêpốk	Thuỷ điện	Thuỷ điện lớn	Đắk Nông, Đắk Lắk
12.2852777777777, 108.038333333333	Nhà máy thuỷ điện Buôn Tua Srah	Krông Nô	Thuỷ điện	Thuỷ điện vừa và nhỏ	Đắk Nông, Đắk Lắk
19.3188888888888, 104.256388888888	Nhà máy thuỷ điện Ca Nan (1&2)	Ca Nan	Thuỷ điện	Thuỷ điện vừa và nhỏ	Nghệ An
20.235, 105.404166666666	Nhà máy thuỷ điện Cẩm Thủy 1	Sông Mã	Thuỷ điện	Thuỷ điện vừa và nhỏ	Thanh Hóa
11.9688888888888, 106.843333333333	Nhà máy thuỷ điện Cần Đơn	Sông Bé	Thuỷ điện	Thuỷ điện vừa và nhỏ	Bình Phước
19.6005555555555, 104.993333333333	Nhà máy thuỷ điện Châu Thắng	Sông Quàng	Thuỷ điện	Thuỷ điện vừa và nhỏ	Nghệ An
19.5830555555555, 104.8	Nhà máy thuỷ điện Châu Thôn	Nậm Tột	Thuỷ điện	Thuỷ điện vừa và nhỏ	Nghệ An
19.0883333333333, 104.802222222222	Nhà máy thuỷ điện Chi Khê	Sông Lam	Thuỷ điện	Thuỷ điện vừa và nhỏ	Nghệ An
22.1983333333333, 105.328055555555	Nhà máy thuỷ điện Chiêm Hóa	Sông Gâm	Thuỷ điện	Thuỷ điện vừa và nhỏ	Tuyên Quang
21.4572222222222, 104.210277777777	Nhà máy thuỷ điện Chiềng Công 1&2	Nậm Pia	Thuỷ điện	Thuỷ điện vừa và nhỏ	Sơn La
21.4905555555555, 103.780555555555	Nhà máy thuỷ điện Chiềng Ngàm Thượng	Suối Muội	Thuỷ điện	Thuỷ điện vừa và nhỏ	Sơn La
,	Nhà máy thuỷ điện Chu Va 2		Thuỷ điện		
22.4144444444444, 103.906666666666	Nhà máy thuỷ điện Cốc San	Ngòi Dum	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
19.8780555555555, 105.273055555555	Nhà máy thuỷ điện Cửa Đạt	Sông Chu	Thuỷ điện	Thuỷ điện vừa và nhỏ	Thanh Hóa
11.9533333333333, 108.307777777777	Nhà máy thuỷ điện Đạ Dâng - Đạ Chomo	Đạ Dâng	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lâm Đồng
11.7219444444444, 108.246944444444	Nhà máy thuỷ điện Đạ Dâng 2	Đa Dâng	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lâm Đồng
11.775, 107.822499999999	Nhà máy thuỷ điện Đa Kai	Đa Kai	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lâm Đồng
12.1063888888888, 108.554444444444	Nhà máy thuỷ điện Đa Khai	Đa Khai	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lâm Đồng
11.5827777777777, 107.6725	Nhà máy thuỷ điện Đa M'bri	Đa M'bri	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lâm Đồng
11.8527777777777, 108.605833333333	Nhà máy thuỷ điện Đa Nhim	Đa Nhim	Thuỷ điện	Thuỷ điện lớn	Lâm Đồng, Ninh Thuận
12.0852777777777, 108.594722222222	Nhà máy thuỷ điện Đa Nhim Thượng 2	Đa Chay	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lâm Đồng
11.8330555555555, 107.644166666666	Nhà máy thuỷ điện Đa Siat	Đa Siat	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lâm Đồng
12.1333333333333, 108.313055555555	Nhà máy thuỷ điện Đắc Mê	Đăk Mê	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lâm Đồng
11.5405555555555, 107.872222222222	Nhà máy thuỷ điện Đại Nga	Đa R'Nga	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lâm Đồng
11.65, 108.320277777777	Nhà máy thuỷ điện Đại Ninh	Đa Nhim	Thuỷ điện	Thuỷ điện lớn	Lâm Đồng, Bình Thuận
15.0125, 108.296944444444	Nhà máy thuỷ điện Đăk Ba	Đăk Ba	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Ngãi
14.4294444444444, 108.146944444444	Nhà máy thuỷ điện Đăk Bla 1	Đăk Bla	Thuỷ điện	Thuỷ điện vừa và nhỏ	Kon Tum
,	Nhà máy thuỷ điện Đăk Ble		Thuỷ điện		
14.1847222222222, 108.106388888888	Nhà máy thuỷ điện Đăk Đoa	Ia Krom	Thuỷ điện	Thuỷ điện vừa và nhỏ	Gia Lai
14.9783333333333, 108.301388888888	Nhà máy thuỷ điện Đăk Đrinh	Đăk Đrinh	Thuỷ điện	Thuỷ điện lớn	Quảng Ngãi
12.0252777777777, 107.183333333333	Nhà máy thuỷ điện Đăk Glun	Đăk G'lun	Thuỷ điện	Thuỷ điện vừa và nhỏ	Bình Phước
11.8458333333333, 107.422777777777	Nhà máy thuỷ điện Đăk Kar	Đăk Kar	Thuỷ điện	Thuỷ điện vừa và nhỏ	Đắk Nông
14.7275, 108.369444444444	Nhà máy thuỷ điện Đăk Lô 1,2,3	Đăk Lô	Thuỷ điện	Thuỷ điện vừa và nhỏ	Kon Tum
15.1527777777777, 107.891944444444	Nhà máy thuỷ điện Đăk Mek 3	Đăk Mek	Thuỷ điện	Thuỷ điện vừa và nhỏ	Kon Tum
15.1463888888888, 107.9075	Nhà máy thuỷ điện Đăk Mi 1	Đăk Mi	Thuỷ điện	Thuỷ điện vừa và nhỏ	Kon Tum
15.1830555555555, 107.818333333333	Nhà máy thuỷ điện Đăk Mi 1A	Đăk Mi	Thuỷ điện	Thuỷ điện vừa và nhỏ	Kon Tum
15.2297222222222, 107.813055555555	Nhà máy thuỷ điện Đăk Mi 2	Đăk Mi	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Nam
15.3186111111111, 107.824166666666	Nhà máy thuỷ điện Đăk Mi 3	Đăk Mi	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Nam
15.4588888888888, 107.912222222222	Nhà máy thuỷ điện Đăk Mi 4	Đăk Mi	Thuỷ điện	Thuỷ điện lớn	Quảng Nam
15.4641666666666, 107.928888888888	Nhà máy thuỷ điện Đăk Mi 4C	Đăk Mi	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Nam
14.5280555555555, 108.219166666666	Nhà máy thuỷ điện Đăk Ne	Đăk Ne	Thuỷ điện	Thuỷ điện vừa và nhỏ	Kon Tum
11.9644444444444, 107.6675	Nhà máy thuỷ điện Đắk Nông 2	Sông Đắk Nông	Thuỷ điện	Thuỷ điện vừa và nhỏ	Đắk Nông
12.1958333333333, 107.926666666666	Nhà máy thuỷ điện Đăk N'teng	Krông Nô	Thuỷ điện	Thuỷ điện vừa và nhỏ	Đắk Nông
13.7186111111111, 108.421111111111	Nhà máy thuỷ điện Đăk Pi Hao 4	Đăk Pi Hao	Thuỷ điện	Thuỷ điện vừa và nhỏ	Gia Lai
14.65, 107.790277777777	Nhà máy thuỷ điện Đăk Pô Kô	Pô Kô	Thuỷ điện	Thuỷ điện vừa và nhỏ	Kon Tum
14.5758333333333, 108.304722222222	Nhà máy thuỷ điện Đăk Pô Ne	Đăk Pô Ne	Thuỷ điện	Thuỷ điện vừa và nhỏ	Kon Tum
,	Nhà máy thuỷ điện Đăk Psi		Thuỷ điện		
14.8658333333333, 108.014722222222	Nhà máy thuỷ điện Đăk Psi 2B	Đăk Psi	Thuỷ điện	Thuỷ điện vừa và nhỏ	Kon Tum
14.7713888888888, 108.001944444444	Nhà máy thuỷ điện Đăk Psi 3	Đăk Psi	Thuỷ điện	Thuỷ điện vừa và nhỏ	Kon Tum
14.7058333333333, 107.966111111111	Nhà máy thuỷ điện Đăk Psi 4	Đăk Psi	Thuỷ điện	Thuỷ điện vừa và nhỏ	Kon Tum
14.6608333333333, 107.938055555555	Nhà máy thuỷ điện Đăk Psi 5	Đăk Psi	Thuỷ điện	Thuỷ điện vừa và nhỏ	Kon Tum
,	Nhà máy thuỷ điện Đăk Psi 6		Thuỷ điện		
11.9663888888888, 107.6575	Nhà máy thuỷ điện Đăk R’Tih	Đăk R’tih	Thuỷ điện	Thuỷ điện lớn	Đắk Nông
14.6044444444444, 108.485833333333	Nhà máy thuỷ điện Đăk Re	Đăk Re	Thuỷ điện	Thuỷ điện vừa và nhỏ	Kon Tum
14.7472222222222, 107.835833333333	Nhà máy thuỷ điện Đăk Rơ Sa	Đăk Tơ Kan	Thuỷ điện	Thuỷ điện vừa và nhỏ	Kon Tum
11.9058333333333, 107.423055555555	Nhà máy thuỷ điện Đăk Ru	Đăk Ru	Thuỷ điện	Thuỷ điện vừa và nhỏ	Đắk Nông
12.1138888888888, 107.633611111111	Nhà máy thuỷ điện Đăk Rung 1&2	Đồng Nai	Thuỷ điện	Thuỷ điện vừa và nhỏ	Đắk Nông
,	Nhà máy thuỷ điện Đăk Ruồi		Thuỷ điện		
,	Nhà máy thuỷ điện Đăk Ruồi 2		Thuỷ điện		
11.8205555555555, 107.458611111111	Nhà máy thuỷ điện Đăk Sin 1	Đăk R' Keh	Thuỷ điện	Thuỷ điện vừa và nhỏ	Đắk Nông
13.7658333333333, 108.523611111111	Nhà máy thuỷ điện Đăk Srông	Sông Ba	Thuỷ điện	Thuỷ điện vừa và nhỏ	Gia Lai
13.6786111111111, 108.565	Nhà máy thuỷ điện Đăk Srông 2	Sông Ba	Thuỷ điện	Thuỷ điện vừa và nhỏ	Gia Lai
13.6786111111111, 108.565	Nhà máy thuỷ điện Đăk Srông 2A	Sông Ba	Thuỷ điện	Thuỷ điện vừa và nhỏ	Gia Lai
13.3472222222222, 108.532222222222	Nhà máy thuỷ điện Đăk Srông 3A	Sông Ba	Thuỷ điện	Thuỷ điện vừa và nhỏ	Gia Lai
13.3380555555555, 108.558611111111	Nhà máy thuỷ điện Đăk Srông 3B	Sông Ba	Thuỷ điện	Thuỷ điện vừa và nhỏ	Gia Lai
14.7147222222222, 108.003611111111	Nhà máy thuỷ điện Đăk Trưa 1&2	Đăk Trưa	Thuỷ điện	Thuỷ điện vừa và nhỏ	Kon Tum
16.4969444444444, 106.972222222222	Nhà máy thuỷ điện Đakrông 1	Đakrông	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Trị
16.6494444444444, 106.816666666666	Nhà máy thuỷ điện Đakrông 2	Đakrông	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Trị
16.5627777777777, 106.953611111111	Nhà máy thuỷ điện Đakrông 3	Đakrông	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Trị
16.5972222222222, 106.882222222222	Nhà máy thuỷ điện Đakrông 4	Đakrông	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Trị
11.6933333333333, 107.659166666666	Nhà máy thuỷ điện Đambol	Đa Mbol	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lâm Đồng
11.2669444444444, 108.000277777777	Nhà máy thuỷ điện Đan Sách 1	Đan Sách	Thuỷ điện	Thuỷ điện vừa và nhỏ	Bình Thuận
11.2427777777777, 108.009722222222	Nhà máy thuỷ điện Đan Sách 2&3	Suối Thị	Thuỷ điện	Thuỷ điện vừa và nhỏ	Bình Thuận
14.1566666666666, 108.772777777777	Nhà máy thuỷ điện Định Bình	Sông Kôn	Thuỷ điện	Thuỷ điện vừa và nhỏ	Bình Định
19.9561111111111, 105.276666666666	Nhà máy thuỷ điện Dốc Cáy	Sông Chu	Thuỷ điện	Thuỷ điện vừa và nhỏ	Thanh Hóa
11.7130555555555, 108.057777777777	Nhà máy thuỷ điện Đồng Nai 2	Đồng Nai	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lâm Đồng
11.8722222222222, 107.888611111111	Nhà máy thuỷ điện Đồng Nai 3	Đồng Nai	Thuỷ điện	Thuỷ điện lớn	Đắk Nông, Lâm Đồng
11.885, 107.728611111111	Nhà máy thuỷ điện Đồng Nai 4	Đồng Nai	Thuỷ điện	Thuỷ điện lớn	Đắk Nông, Lâm Đồng
11.7927777777777, 107.553333333333	Nhà máy thuỷ điện Đồng Nai 5	Đồng Nai	Thuỷ điện	Thuỷ điện lớn	Đắk Nông, Lâm Đồng
,	Nhà máy thuỷ điện Đông Pao		Thuỷ điện		
21.8211111111111, 104.658055555555	Nhà máy thuỷ điện Đồng Sung	Ngòi Thia	Thuỷ điện	Thuỷ điện vừa và nhỏ	Yên Bái
19.8855555555555, 105.117499999999	Nhà máy thuỷ điện Đồng Văn	Sông Chu	Thuỷ điện	Thuỷ điện vừa và nhỏ	Nghệ An
12.6711111111111, 107.9075	Nhà máy thuỷ điện Đray H'linh 1	Srêpốk	Thuỷ điện	Thuỷ điện vừa và nhỏ	Đắk Lắk
12.6755555555555, 107.904166666666	Nhà máy thuỷ điện Đray H'linh 2	Srêpốk	Thuỷ điện	Thuỷ điện vừa và nhỏ	Đắk Nông
11.6713888888888, 107.271666666666	Nhà máy thuỷ điện Đức Thành	Đồng Nai	Thuỷ điện	Thuỷ điện vừa và nhỏ	Bình Phước
13.2399999999999, 108.060277777777	Nhà máy thuỷ điện Ea Đrăng 2	Ea Đrăng	Thuỷ điện	Thuỷ điện vừa và nhỏ	Đắk Lắk
12.5991666666666, 108.939722222222	Nhà máy thuỷ điện Ea Krông Rou	Ea Krông Rou	Thuỷ điện	Thuỷ điện vừa và nhỏ	Khánh Hòa
12.7719444444444, 108.882222222222	Nhà máy thuỷ điện Ea M'Doal 2	Ea M'Doal	Thuỷ điện	Thuỷ điện vừa và nhỏ	Đắk Lắk
12.8, 108.928611111111	Nhà máy thuỷ điện Ea M'Doal 3	Ea M'Doal	Thuỷ điện	Thuỷ điện vừa và nhỏ	Đắk Lắk
15.2930555555555, 108.4875	Nhà máy thuỷ điện Hà Nang	Cà Đú	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Ngãi
16.6483333333333, 106.769444444444	Nhà máy thuỷ điện Hạ Rào Quán	Rào Quán	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Trị
11.8297222222222, 108.691944444444	Nhà máy thuỷ điện Hạ Sông Pha 1	Sông Pha	Thuỷ điện	Thuỷ điện vừa và nhỏ	Ninh Thuận
11.8330555555555, 108.708333333333	Nhà máy thuỷ điện Hạ Sông Pha 2	Sông Pha	Thuỷ điện	Thuỷ điện vừa và nhỏ	Ninh Thuận
14.2399999999999, 108.106388888888	Nhà máy thuỷ điện Hà Tây	Ia Krom (Đăk Pơ Tang)	Thuỷ điện	Thuỷ điện vừa và nhỏ	Gia Lai
11.3358333333333, 107.935	Nhà máy thuỷ điện Hàm Thuận - Đa Mi	La Ngà	Thuỷ điện	Thuỷ điện lớn	Bình Thuận
21.3130555555555, 104.476666666666	Nhà máy thuỷ điện Háng Đồng A	Sập	Thuỷ điện	Thuỷ điện vừa và nhỏ	Sơn La
21.2658333333333, 104.540833333333	Nhà máy thuỷ điện Háng Đồng A1	Sập	Thuỷ điện	Thuỷ điện vừa và nhỏ	Sơn La
13.8361111111111, 108.178611111111	Nhà máy thuỷ điện H'Chan	A Yun	Thuỷ điện	Thuỷ điện vừa và nhỏ	Gia Lai
13.8111111111111, 108.163888888888	Nhà máy thuỷ điện H'Mun	A Yun	Thuỷ điện	Thuỷ điện vừa và nhỏ	Gia Lai
21.8777777777777, 103.941944444444	Nhà máy thuỷ điện Hồ Bốn	Nậm Kim	Thuỷ điện	Thuỷ điện vừa và nhỏ	Yên Bái
18.0463888888888, 105.833333333333	Nhà máy thuỷ điện Hố Hô	Ngàn Sâu	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Bình, Hà Tĩnh
20.8083333333333, 105.323333333333	Nhà máy thuỷ điện Hòa Bình	Sông Đà	Thuỷ điện	Thuỷ điện lớn	Hòa Bình
12.6497222222222, 107.909166666666	Nhà máy thuỷ điện Hòa Phú	Srêpốk	Thuỷ điện	Thuỷ điện vừa và nhỏ	Đắk Lắk
22.6191666666666, 106.100277777777	Nhà máy thuỷ điện Hoa Thám	Sông Hiến	Thuỷ điện	Thuỷ điện vừa và nhỏ	Cao Bằng
22.5427777777777, 106.494444444444	Nhà máy thuỷ điện Hòa Thuận	Sông Bằng	Thuỷ điện	Thuỷ điện vừa và nhỏ	Cao Bằng
20.4463888888888, 105.051388888888	Nhà máy thuỷ điện Hồi Xuân	Sông Mã	Thuỷ điện	Thuỷ điện lớn	Thanh Hóa
19.8380555555555, 105.084444444444	Nhà máy thuỷ điện Hủa Na	Sông Chu	Thuỷ điện	Thuỷ điện lớn	Nghệ An
21.6052777777777, 103.022777777777	Nhà máy thuỷ điện Huổi Chan 1	Nậm Mức	Thuỷ điện	Thuỷ điện vừa và nhỏ	Điện Biên
21.6963888888888, 103.8775	Nhà máy thuỷ điện Huội Quảng	Nậm Mu	Thuỷ điện	Thuỷ điện lớn	Sơn La
16.46, 107.423333333333	Nhà máy thuỷ điện Hương Điền	Sông Bồ	Thuỷ điện	Thuỷ điện vừa và nhỏ	Thừa Thiên Huế
16.7097222222222, 106.566666666666	Nhà máy thuỷ điện Hướng Phùng	Sông Sen	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Trị
18.4461111111111, 105.151388888888	Nhà máy thuỷ điện Hương Sơn	Nậm Chốt	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Tĩnh
13.9755555555555, 107.727777777777	Nhà máy thuỷ điện Ia Grai 1	Ia Grăng	Thuỷ điện	Thuỷ điện vừa và nhỏ	Gia Lai
13.9755555555555, 107.792777777777	Nhà máy thuỷ điện Ia Grai 2	Ia Grai	Thuỷ điện	Thuỷ điện vừa và nhỏ	Gia Lai
14.0222222222222, 107.648888888888	Nhà máy thuỷ điện Ia Grai 3	Ia Grai	Thuỷ điện	Thuỷ điện vừa và nhỏ	Gia Lai
13.7883333333333, 107.549444444444	Nhà máy thuỷ điện Ia Krel 2	Ia Krel	Thuỷ điện	Thuỷ điện vừa và nhỏ	Gia Lai
13.7333333333333, 107.804999999999	Nhà máy thuỷ điện Ia Púch 3	Ia Púch	Thuỷ điện	Thuỷ điện vừa và nhỏ	Gia Lai
14.2275, 107.829444444444	Nhà máy thuỷ điện Ialy	Sê San	Thuỷ điện	Thuỷ điện lớn	Gia Lai
21.8780555555555, 103.943055555555	Nhà máy thuỷ điện Khao Mang Hạ	Nậm Kim	Thuỷ điện	Thuỷ điện vừa và nhỏ	Yên Bái
21.8675, 103.998888888888	Nhà máy thuỷ điện Khao Mang Thượng	Nậm Kim	Thuỷ điện	Thuỷ điện vừa và nhỏ	Yên Bái
19.1911111111111, 104.658611111111	Nhà máy thuỷ điện Khe Bố	Sông Lam	Thuỷ điện	Thuỷ điện lớn	Nghệ An
16.7002777777777, 106.773333333333	Nhà máy thuỷ điện Khe Nghi	Khe Nghi	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Trị
17.9169444444444, 105.970555555555	Nhà máy thuỷ điện Khe Rôn	Khe Rôn	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Bình
19.1116666666666, 104.7175	Nhà máy thuỷ điện Khe Thơi	Khe Thơi	Thuỷ điện	Thuỷ điện vừa và nhỏ	Nghệ An
12.7527777777777, 108.866944444444	Nhà máy thuỷ điện Krông Hin	Ea Krông Hin	Thuỷ điện	Thuỷ điện vừa và nhỏ	Đắk Lắk
12.9416666666666, 108.711388888888	Nhà máy thuỷ điện Krông H'năng	Sông Ba	Thuỷ điện	Thuỷ điện vừa và nhỏ	Phú Yên, Đắk Lắk
12.4519444444444, 108.337222222222	Nhà máy thuỷ điện Krông Kmar	Krông Kmar	Thuỷ điện	Thuỷ điện vừa và nhỏ	Đắk Lắk
12.2538888888888, 108.355833333333	Nhà máy thuỷ điện Krông Nô 2	Krông Nô	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lâm Đồng, Đắk Lắk
12.2116666666666, 108.284722222222	Nhà máy thuỷ điện Krông Nô 3	Krông Nô	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lâm Đồng, Đắk Lắk
14.3861111111111, 108.434722222222	Nhà máy thuỷ điện Krông Pa 2	Krông Pa	Thuỷ điện	Thuỷ điện vừa và nhỏ	Gia Lai
13.5016666666666, 108.848055555555	Nhà máy thuỷ điện La Hiêng 2	La Hiêng	Thuỷ điện	Thuỷ điện vừa và nhỏ	Phú Yên
16.5058333333333, 107.031388888888	Nhà máy thuỷ điện La Tó	Khe A Cho	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Trị
17.8669444444444, 105.798333333333	Nhà máy thuỷ điện La Trọng	Sông Gianh	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Bình
22.1380555555555, 102.983888888888	Nhà máy thuỷ điện Lai Châu	Sông Đà	Thuỷ điện	Thuỷ điện lớn	Lai Châu
21.7141666666666, 103.216111111111	Nhà máy thuỷ điện Long Tạo	Nậm Mức	Thuỷ điện	Thuỷ điện vừa và nhỏ	Điện Biên
22.0452777777777, 104.089166666666	Nhà máy thuỷ điện Minh Lương	Nậm Chăn	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
22.8555555555555, 105.485555555555	Nhà máy thuỷ điện Mông Ân	Sông Gâm	Thuỷ điện	Thuỷ điện vừa và nhỏ	Cao Bằng
22.5405555555555, 103.714166666666	Nhà máy thuỷ điện Mường Hum	Ngòi Phát	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
20.9805555555555, 103.817777777777	Nhà máy thuỷ điện Mường Hung	Sông Mã	Thuỷ điện	Thuỷ điện vừa và nhỏ	Sơn La
21.8758333333333, 103.923611111111	Nhà máy thuỷ điện Mường Kim	Nậm Kim	Thuỷ điện	Thuỷ điện vừa và nhỏ	Yên Bái
21.8755555555555, 103.893333333333	Nhà máy thuỷ điện Mường Kim 2	Nậm Kim	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lai Châu, Yên Bái
21.7491666666666, 103.039166666666	Nhà máy thuỷ điện Mường Mươn	Nậm Chim	Thuỷ điện	Thuỷ điện vừa và nhỏ	Điện Biên
22.6847222222222, 106.598888888888	Nhà máy thuỷ điện Nà Lòa	Bắc Vọng	Thuỷ điện	Thuỷ điện vừa và nhỏ	Cao Bằng
21.4686111111111, 103.058333333333	Nhà máy thuỷ điện Nà Lơi	Nậm Rốm	Thuỷ điện	Thuỷ điện vừa và nhỏ	Điện Biên
22.6722222222222, 106.505	Nhà máy thuỷ điện Nà Tẩu	Bắc Vọng	Thuỷ điện	Thuỷ điện vừa và nhỏ	Cao Bằng
22.4013888888888, 103.107777777777	Nhà máy thuỷ điện Nậm Ban (3 bậc)	Nậm Ban	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lai Châu
22.4047222222222, 102.982222222222	Nhà máy thuỷ điện Nậm Bụm 1	Nậm Bum	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lai Châu
22.3741666666666, 102.856388888888	Nhà máy thuỷ điện Nậm Bụm 2	Nậm Bum	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lai Châu
19.44, 104.095277777777	Nhà máy thuỷ điện Nậm Cắn 2	Nậm Cắn	Thuỷ điện	Thuỷ điện vừa và nhỏ	Nghệ An
22.6286111111111, 103.290833333333	Nhà máy thuỷ điện Nậm Cát	Nậm Cát	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lai Châu
22.4316666666666, 102.798333333333	Nhà máy thuỷ điện Nậm Cấu 1	Nậm Cấu	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lai Châu
22.3941666666666, 102.809444444444	Nhà máy thuỷ điện Nậm Cấu 2	Nậm Cấu	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lai Châu
21.5936111111111, 104.144444444444	Nhà máy thuỷ điện Nậm Chiến 1	Nậm Chiến	Thuỷ điện	Thuỷ điện lớn	Sơn La
21.5, 104.090833333333	Nhà máy thuỷ điện Nậm Chiến 2	Nậm Chiến	Thuỷ điện	Thuỷ điện vừa và nhỏ	Sơn La
21.3427777777777, 104.35	Nhà máy thuỷ điện Nậm Chim 1	Nậm Chim	Thuỷ điện	Thuỷ điện vừa và nhỏ	Sơn La
,	Nhà máy thuỷ điện Nậm Chim 1A		Thuỷ điện		
,	Nhà máy thuỷ điện Nậm Chim 1B		Thuỷ điện		
21.3161111111111, 104.291666666666	Nhà máy thuỷ điện Nậm Chim 2	Nậm Chim	Thuỷ điện	Thuỷ điện vừa và nhỏ	Sơn La
22.5311111111111, 102.596111111111	Nhà máy thuỷ điện Nậm Củm 4	Nậm Củm	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lai Châu
22.2672222222222, 103.981944444444	Nhà máy thuỷ điện Nậm Củn	Ngòi Bo	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
22.2366666666666, 103.619722222222	Nhà máy thuỷ điện Nậm Đích 1	Nậm Đích	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lai Châu
21.5880555555555, 104.398055555555	Nhà máy thuỷ điện Nậm Đông	Nậm Đông	Thuỷ điện	Thuỷ điện vừa và nhỏ	Yên Bái
21.6727777777777, 103.771666666666	Nhà máy thuỷ điện Nậm Giôn	Nậm Giôn	Thuỷ điện	Thuỷ điện vừa và nhỏ	Sơn La
21.965, 103.101388888888	Nhà máy thuỷ điện Nậm He	Nậm He	Thuỷ điện	Thuỷ điện vừa và nhỏ	Điện Biên
21.3555555555555, 103.4075	Nhà máy thuỷ điện Nậm Hóa 1	Nậm Hua	Thuỷ điện	Thuỷ điện vừa và nhỏ	Sơn La
21.4575, 104.193055555555	Nhà máy thuỷ điện Nậm Hồng 1&2	Nậm Hồng	Thuỷ điện	Thuỷ điện vừa và nhỏ	Sơn La
22.4872222222222, 104.366666666666	Nhà máy thuỷ điện Nậm Khánh	Nậm Phàng	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
22.0641666666666, 104.109166666666	Nhà máy thuỷ điện Nậm Khắt	Nậm Khắt	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
22.0633333333333, 103.978611111111	Nhà máy thuỷ điện Nậm Khóa	Nậm Khóa	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
21.6313888888888, 104.171666666666	Nhà máy thuỷ điện Nậm Khốt	Nậm Khắt	Thuỷ điện	Thuỷ điện vừa và nhỏ	Sơn La
21.4049999999999, 103.983611111111	Nhà máy thuỷ điện Nậm La	Nậm La	Thuỷ điện	Thuỷ điện vừa và nhỏ	Sơn La
22.9619444444444, 105.265277777777	Nhà máy thuỷ điện Nậm Lang	Nậm Lang	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Giang
21.3411111111111, 104.349722222222	Nhà máy thuỷ điện Nậm Lúc	Nậm Lúc	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
