id,name,investor,total_scale_area,operating_time,start_year,price,building_density,address,address_code,ward_commune,district,city,type_ward,type_district,type_city,city_code,economic_zone,latitude,longitude
58,Khu công nghiệp Trần Quốc Toản - Tỉnh Đồng Tháp,TRANQUOCTOAN-IP-DT,56.316ha,2058,2005,42 USD/m2 Giá thuê chưa bao gồm VAT,60 (%),"Phường 11, Thành phố Cao Lãnh, Tỉnh Đồng Tháp",29863,Phường 11,Thành phố Cao Lãnh,Tỉnh Đồng Tháp,Phường,Thành phố,Tỉnh,87,ĐỒNG BẰNG SÔNG CỬU LONG,10.486093050000001,105.58186214074584
59,Khu công nghiệp Trà Kha - Tỉnh Bạc Liêu,TRAKHA-IP-BL,63.87ha,2056,2006,65 USD/m2 Giá thuê chưa bao gồm VAT,60 (%),"Phường 8, thị xã Bạc Liêu, tỉnh Bạc Liêu",31828,Phường 8,Thành phố Bạc Liêu,Tỉnh Bạc Liêu,Phường,Thành phố,Tỉnh,95,ĐỒNG BẰNG SÔNG CỬU LONG,9.2517508,105.514123
60,Khu công nghiệp Đà Nẵng - Đà Nẵng,DANANG-IP-DN,50.1ha, ,1996,80 USD/m2 Chưa bao gồm VAT,60 (%),"Phường An Hải Bắc, quận Sơn Trà, thành phố Đà Nẵng",20272,Phường An Hải Bắc,Quận Sơn Trà,Thành phố Đà Nẵng,Phường,Quận,Thành phố,48,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,16.0772437,108.2361406
61,Khu công nghiệp Sa Đéc khu A1 - Tỉnh Đồng Tháp,SADECA1-IP-ĐT,40ha,2024,2024,50 USD/m2 Giá thuê chưa bao gồm VAT,60 (%),"Phường An Hoà, Thành phố Sa Đéc, tỉnh Đồng Tháp",29919,Phường An Hoà,Thành phố Sa Đéc,Tỉnh Đồng Tháp,Phường,Thành phố,Tỉnh,87,ĐỒNG BẰNG SÔNG CỬU LONG,10.3096463,105.7450921
62,Khu công nghiệp Linh Trung II - Thành phố Hồ Chí Minh,LINHTRUNGII-IP-HCM,61.7ha, ,2000,90 USD/m2 Chưa bao gồm VAT,60 (%),"Phường Bình Chiểu, quận Thủ Đức, thành phố Hồ Chí Minh",26797,Phường Bình Chiểu,Thành phố Thủ Đức,Thành phố Hồ Chí Minh,Phường,Thành phố,Thành phố,79,ĐÔNG NAM BỘ,10.8499431,106.767018
63,Khu công nghiệp Đồng An 1,Công ty Cổ phần Thương mại – Sản xuất – Xây dựng Hưng Thịnh,"138,7 ha", ,1996,60 USD/m2 Chưa bao gồm VAT,60 (%),"Phường Bình Hòa, Thành Phố Thuận An, Tỉnh Bình Dương ",25987,Phường Bình Hòa,Thành phố Thuận An,Tỉnh Bình Dương,Phường,Thành phố,Tỉnh,74,ĐÔNG NAM BỘ,10.9199126,106.7322338
64,Khu công nghệ cao Vĩnh Lộc - Thành phố Hồ Chí Minh,VINHLOC-HiZ-HCM,207ha, , ,50 USD/m2 Chưa bao gồm VAT,60 (%),"phường Bình Hưng Hòa B, quận Bình Tân, thành phố Hồ Chí Minh, Việt Nam",27442,Phường Bình Hưng Hòa B,Quận Bình Tân,Thành phố Hồ Chí Minh,Phường,Quận,Thành phố,79,ĐÔNG NAM BỘ,10.801923,106.5913656
65,Khu công nghiêp Bắc Cam Ranh - Khánh Hoà,BACCAMRANH-IP-KH,200ha, ,2009,30 USD/m2 Chưa bao gồm VAT,60 (%),"Phường Cam Phúc Bắc và Cam Phúc Nam, thành phố Cam Ranh, tỉnh Khánh Hò",22414,Phường Cam Phúc Nam,Thành phố Cam Ranh,Tỉnh Khánh Hòa,Phường,Thành phố,Tỉnh,56,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,,
65,,,, , ,,,"Phường Cam Phúc Bắc và Cam Phúc Nam, thành phố Cam Ranh, tỉnh Khánh Hò",22411,Phường Cam Phúc Bắc,Thành phố Cam Ranh,Tỉnh Khánh Hòa,Phường,Thành phố,Tỉnh,56,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,,
66,Khu công nghiệp Cộng Hòa,Công ty CP Phát triển Đô thị và KCN cao su Việt Nam,"201,43 ha",2058,2008, 90 USD/m2 Giá chưa bao gồm VAT,65 (%),"Phường Cộng Hòa, thành phố Chí Linh, Hải Dương",07150,Phường Cộng Hòa,Thị xã Quảng Yên,Tỉnh Quảng Ninh,Phường,Thị xã,Tỉnh,22,ĐỒNG BẰNG SÔNG HỒNG,21.1268587,106.3982963
