id,name,investor,total_scale_area,operating_time,start_year,price,building_density,address,address_code,ward_commune,district,city,type_ward,type_district,type_city,city_code,economic_zone,latitude,longitude
91,, , , , , , ,"Phường Phúc Thắng, Phường Nam Yên, thành phố Phúc Yên, tỉnh Vĩnh Phúc",08755,Phường Nam Viêm,Thành phố Phúc Yên,Tỉnh Vĩnh Phúc,Phường,Thành phố,Tỉnh,26,ĐỒNG BẰNG SÔNG HỒNG,,
92,Khu công nghiệp Ô Môn - Cần Thơ,OMON-IP-CT,600ha, , ,60 USD/m2 Chưa bao gồm VAT,60 (%),"Phường Phước Thới, quận Ô Môn, thành phố Cần Thơ",31162,Phường Phước Thới,Quận Ô Môn,Thành phố Cần Thơ,Phường,Quận,Thành phố,92,ĐỒNG BẰNG SÔNG CỬU LONG,10.1007589,105.6909092
93,Khu công nghiệp Trà Nóc II - Cần Thơ,TRANOCII-IP-CT,157.7ha, , ,60 USD/m2 Chưa bao gồm VAT,60 (%),"Phường Phước Thới, quận Ô Môn, thành phố Cần Thơ",31162,Phường Phước Thới,Quận Ô Môn,Thành phố Cần Thơ,Phường,Quận,Thành phố,92,ĐỒNG BẰNG SÔNG CỬU LONG,10.1007589,105.6909092
94,Khu công nghiệp Đông Xuyên,DONGXUYEN-IP-BRVT,160.81ha,2046,1996,85 USD/m2 Giá chưa bao gồm VAT,60 (%),"Phường Rạch Dừa, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu",26535,Phường Rạch Dừa,Thành phố Vũng Tàu,Tỉnh Bà Rịa - Vũng Tàu,Phường,Thành phố,Tỉnh,77,ĐÔNG NAM BỘ,10.3959384,107.1128828
95,Khu công nghệ Phần mềm Quang Trung - Thành phố Hồ Chí Minh,QUANGTRUNG-HiP-HCM,43ha, , ,0 USD/m2 Chưa bao gồm VAT,60 (%),"Phường Tân Chánh Hiệp, Quận 12, Thành Phố Hồ Chí Minh, Việt nam",26776,Phường Tân Chánh Hiệp,Quận 12,Thành phố Hồ Chí Minh,Phường,Quận,Thành phố,79,ĐÔNG NAM BỘ,,
96,Khu công nghiệp Hưng Phú 1 - Cần Thơ,HUNGPHU1-IP-CT,270ha, , ,60 USD/m2 Chưa bao gồm VAT,60 (%),"Phường Tân Phú, quận Cái Răng, thành phố Cần Thơ",31204,Phường Tân Phú,Quận Cái Răng,Thành phố Cần Thơ,Phường,Quận,Thành phố,92,ĐỒNG BẰNG SÔNG CỬU LONG,9.979124,105.8204389
97,Khu công nghiệp Sa Đéc Khu C&C mở rộng - Tỉnh Đồng Tháp,SADECC-IP-ĐT,100.9ha,2054,2024,35 USD/m2 Giá thuê chưa bao gồm VAT,60 (%),"phường Tân Quy Đông và xã Tân Khánh Đông, thành phố Sa Đéc, tỉnh Đồng Tháp",29914,Xã Tân Khánh Đông,Thành phố Sa Đéc,Tỉnh Đồng Tháp,Xã,Thành phố,Tỉnh,87,ĐỒNG BẰNG SÔNG CỬU LONG,,
97,,,, , ,,,"phường Tân Quy Đông và xã Tân Khánh Đông, thành phố Sa Đéc, tỉnh Đồng Tháp",29917,Phường Tân Quy Đông,Thành phố Sa Đéc,Tỉnh Đồng Tháp,Phường,Thành phố,Tỉnh,87,ĐỒNG BẰNG SÔNG CỬU LONG,,
98,Khu chế xuất Tân Thuận - Thành phố Hồ Chí Minh,TANTHUAN-IP-HCM,300ha, ,1991,90 USD/m2 Chưa bao gồm VAT,60 (%),"Phường Tân Thuận Đông, quận 7, thành phố Hồ Chí Minh",27466,Phường Tân Thuận Đông,Quận 7,Thành phố Hồ Chí Minh,Phường,Quận,Thành phố,79,ĐÔNG NAM BỘ,10.745084,106.7316294
99,Khu công nghiệp Bắc Ô Môn - Cần Thơ,BAC OMON-IP-CT,400ha, , ,60 USD/m2 Chưa bao gồm VAT, 60 (%,"Phường Thái Long, quận Ô Môn, thành phố Cần Thơ",31156,Phường Thới Long,Quận Ô Môn,Thành phố Cần Thơ,Phường,Quận,Thành phố,92,ĐỒNG BẰNG SÔNG CỬU LONG,,
100,Khu công nghiệp Cát Lái 2 - Thành phố Hồ Chí Minh,CATLAI2-IP-HCM,111.7ha, ,2003,90 USD/m2 Chưa bao gồm VAT,60 (%),"Phường Thạnh Mỹ Lợi, Quận 2, Thành phố Hồ Chí Minh",27112,Phường Thạnh Mỹ Lợi,Thành phố Thủ Đức,Thành phố Hồ Chí Minh,Phường,Thành phố,Thành phố,79,ĐÔNG NAM BỘ,10.77073175,106.77025588785676
